id_category;id_parent;id_shop_default;level_depth;nleft;nright;active;date_add;date_upd;position;is_root_category;id_shop;id_lang;name;description;link_rewrite;meta_title;meta_keywords;meta_description;
"64";"13";"1";"3";"24";"25";"1";"2015-10-13 09:41:53";"2015-10-13 09:41:53";"10";"0";"1";"1";"Green House Seeds";"";"green-house-seeds";"Green House Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de calidad,semillas Green House Seeds,Green House Seeds";"";
"65";"13";"1";"3";"26";"27";"1";"2015-10-13 09:42:33";"2015-10-13 09:42:33";"11";"0";"1";"1";"Paradise Seeds";"";"paradise-seeds";"Paradise Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana Paradise Seeds,semillas Paradise Seeds,banco Paradise Seeds";"";
"66";"13";"1";"3";"28";"29";"1";"2015-10-13 09:43:46";"2015-10-15 18:07:51";"12";"0";"1";"1";"Kannabia";"";"kannabia";"Kannabia Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas de marihuana Kannabia,semillas Kannabia";"";
"67";"13";"1";"3";"30";"31";"1";"2015-10-13 09:55:28";"2015-10-13 09:55:28";"13";"0";"1";"1";"Eva Seeds";"";"eva-seeds";"Eva Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de calidad,semillas Eva Seeds,Eva Seeds";"";
"68";"13";"1";"3";"32";"33";"1";"2015-10-13 09:56:18";"2015-10-15 17:44:18";"14";"0";"1";"1";"Medical Seeds";"";"medical-seeds";"Medical Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Medical Seeds,Medical Seeds";"";
"69";"13";"1";"3";"34";"35";"1";"2015-10-13 09:56:55";"2015-10-15 18:12:45";"15";"0";"1";"1";"Pyramid Seeds";"";"pyramid-seeds";"Pyramid Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Pyramid Seeds,Pyramid Seeds";"";
"70";"13";"1";"3";"36";"37";"1";"2015-10-13 09:57:26";"2015-10-13 09:57:26";"16";"0";"1";"1";"Mr Nice";"";"mr-nice";"Mr Nice Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Mr Nice,Mr Nice";"";
"71";"13";"1";"3";"38";"39";"1";"2015-10-13 09:58:00";"2015-10-13 09:58:00";"17";"0";"1";"1";"Serious Seeds";"";"serious-seeds";"Serious Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Serious Seeds,Serious Seeds";"";
"72";"13";"1";"3";"40";"41";"1";"2015-10-13 09:58:27";"2015-10-13 09:58:27";"18";"0";"1";"1";"Ripper Seeds";"";"ripper-seeds";"Ripper Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Ripper Seeds,Ripper Seeds";"";
"73";"13";"1";"3";"42";"43";"1";"2015-10-13 09:59:13";"2015-10-13 09:59:13";"19";"0";"1";"1";"DNA Genetics";"";"dna-genetics";"DNA Genetics Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas DNA Genetics,DNA Genetics";"";
"75";"13";"1";"3";"44";"45";"1";"2015-10-13 09:59:38";"2015-10-15 18:16:24";"20";"0";"1";"1";"Royal Queen Seeds";"";"royal-queen-seeds";"Royal Queen Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Royal Queen Seeds,Royal Queen Seeds";"";
"76";"13";"1";"3";"46";"47";"1";"2015-10-13 10:00:02";"2015-10-13 10:00:02";"21";"0";"1";"1";"Mandala Seeds";"";"mandala-seeds";"Mandala Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Mandala Seeds,Mandala Seeds";"";
"77";"13";"1";"3";"48";"49";"1";"2015-10-13 10:00:26";"2015-10-13 10:00:26";"22";"0";"1";"1";"Delicious Seeds";"";"delicious-seeds";"Delicious Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Delicious Seeds,Delicious Seeds";"";
"78";"13";"1";"3";"50";"51";"1";"2015-10-13 10:00:57";"2015-10-15 18:20:09";"23";"0";"1";"1";"Samsara Seeds";"";"samsara-seeds";"Samsara Seeds Semillas de Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Samsara Seeds,Samsara Seeds";"";
"79";"13";"1";"3";"52";"53";"1";"2015-10-13 10:02:16";"2015-10-13 10:02:16";"24";"0";"1";"1";"World of Seeds";"";"world-of-seeds";"World of Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas World of Seeds,World of Seeds";"";
"80";"13";"1";"3";"54";"55";"1";"2015-10-13 10:02:38";"2015-10-13 10:02:38";"25";"0";"1";"1";"Big Buddha Seeds";"";"big-buddha-seeds";"Big Buddha Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana de calidad,semillas de marihuana baratas,semillas Big Buddha Seeds,Big Buddha Seeds";"";
"81";"13";"1";"3";"56";"57";"1";"2015-10-13 10:03:01";"2015-10-13 10:03:01";"26";"0";"1";"1";"Ace Seeds";"";"ace-seeds";"Ace Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Ace Seeds,Ace Seeds";"";
"82";"13";"1";"3";"58";"59";"1";"2015-10-13 10:03:41";"2015-10-13 10:03:41";"27";"0";"1";"1";"Sagarmatha";"";"sagarmatha";"Sagarmatha Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Sagarmatha,Sagarmatha";"";
"83";"13";"1";"3";"60";"65";"1";"2015-10-13 10:04:06";"2015-10-13 10:04:06";"28";"0";"1";"1";"CBD Seeds";"";"cbd-seeds";"CBD Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas CBD Seeds,CBD Seeds";"";
"84";"13";"1";"3";"66";"67";"1";"2015-10-13 10:05:07";"2015-10-13 10:05:07";"29";"0";"1";"1";"Seedmakers";"";"seedmakers";"Seedmakers Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas Seedmakers,Seedmakers";"";
"85";"13";"1";"3";"68";"69";"1";"2015-10-13 10:05:42";"2015-10-15 18:18:07";"30";"0";"1";"1";"White Label";"";"white-label";"White Label Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas White Label,White Label";"";
"87";"13";"1";"3";"70";"71";"1";"2015-10-13 10:06:31";"2015-10-13 10:06:31";"31";"0";"1";"1";"The Moon Seeds";"";"the-moon-seeds";"The Moon Seeds Semillas De Marihuana";"semillas de marihuana,semillas de marihuana baratas,semillas de marihuana de calidad,semillas The Moon Seeds,The Moon Seeds";"";
